name,group,actual
wgbs_mixPat13_4_2,Kidney-Ep,0.3
wgbs_mixPat13_4_3,Kidney-Ep,0.3
wgbs_mixPat13_5_1,Kidney-Ep,0.4
wgbs_mixPat13_5_2,Kidney-Ep,0.4
wgbs_mixPat13_5_3,Kidney-Ep,0.4
wgbs_mixPat13_6_1,Kidney-Ep,0.5
wgbs_mixPat13_6_2,Kidney-Ep,0.5
wgbs_mixPat13_6_3,Kidney-Ep,0.5
wgbs_mixPat13_7_1,Kidney-Ep,0.6
wgbs_mixPat13_7_2,Kidney-Ep,0.6
wgbs_mixPat13_7_3,Kidney-Ep,0.6
wgbs_mixPat13_8_1,Kidney-Ep,0.7
wgbs_mixPat13_8_2,Kidney-Ep,0.7
wgbs_mixPat13_8_3,Kidney-Ep,0.7
wgbs_mixPat13_9_1,Kidney-Ep,0.8
wgbs_mixPat13_9_2,Kidney-Ep,0.8
wgbs_mixPat13_9_3,Kidney-Ep,0.8
wgbs_mixPat14_10_1,Liver-Hep,0.9
wgbs_mixPat14_10_2,Liver-Hep,0.9
wgbs_mixPat14_10_3,Liver-Hep,0.9
wgbs_mixPat14_11_1,Liver-Hep,1
wgbs_mixPat14_11_2,Liver-Hep,1
wgbs_mixPat14_11_3,Liver-Hep,1
wgbs_mixPat14_1_1,Liver-Hep,0
wgbs_mixPat14_1_2,Liver-Hep,0
wgbs_mixPat14_1_3,Liver-Hep,0
wgbs_mixPat14_2_1,Liver-Hep,0.1
wgbs_mixPat14_2_2,Liver-Hep,0.1
wgbs_mixPat14_2_3,Liver-Hep,0.1
wgbs_mixPat14_3_1,Liver-Hep,0.2
wgbs_mixPat14_3_2,Liver-Hep,0.2
wgbs_mixPat14_3_3,Liver-Hep,0.2
wgbs_mixPat14_4_1,Liver-Hep,0.3
wgbs_mixPat14_4_2,Liver-Hep,0.3
wgbs_mixPat14_4_3,Liver-Hep,0.3
wgbs_mixPat14_5_1,Liver-Hep,0.4
wgbs_mixPat14_5_2,Liver-Hep,0.4
wgbs_mixPat14_5_3,Liver-Hep,0.4
wgbs_mixPat14_6_1,Liver-Hep,0.5
wgbs_mixPat14_6_2,Liver-Hep,0.5
wgbs_mixPat14_6_3,Liver-Hep,0.5
wgbs_mixPat14_7_1,Liver-Hep,0.6
wgbs_mixPat14_7_2,Liver-Hep,0.6
wgbs_mixPat14_7_3,Liver-Hep,0.6
wgbs_mixPat14_8_1,Liver-Hep,0.7
wgbs_mixPat14_8_2,Liver-Hep,0.7
wgbs_mixPat14_8_3,Liver-Hep,0.7
wgbs_mixPat14_9_1,Liver-Hep,0.8
wgbs_mixPat14_9_2,Liver-Hep,0.8
wgbs_mixPat14_9_3,Liver-Hep,0.8
wgbs_mixPat3_10_1,Colon-Ep,0.9
wgbs_mixPat3_10_2,Colon-Ep,0.9
wgbs_mixPat3_10_3,Colon-Ep,0.9
wgbs_mixPat3_11_1,Colon-Ep,1
wgbs_mixPat3_11_2,Colon-Ep,1
wgbs_mixPat3_11_3,Colon-Ep,1
wgbs_mixPat3_1_1,Colon-Ep,0
wgbs_mixPat3_1_2,Colon-Ep,0
wgbs_mixPat3_1_3,Colon-Ep,0
wgbs_mixPat3_2_1,Colon-Ep,0.1
wgbs_mixPat3_2_2,Colon-Ep,0.1
wgbs_mixPat3_2_3,Colon-Ep,0.1
wgbs_mixPat3_3_1,Colon-Ep,0.2
wgbs_mixPat3_3_2,Colon-Ep,0.2
wgbs_mixPat3_3_3,Colon-Ep,0.2
wgbs_mixPat3_4_1,Colon-Ep,0.3
wgbs_mixPat3_4_2,Colon-Ep,0.3
wgbs_mixPat3_4_3,Colon-Ep,0.3
wgbs_mixPat3_5_1,Colon-Ep,0.4
wgbs_mixPat3_5_2,Colon-Ep,0.4
wgbs_mixPat3_5_3,Colon-Ep,0.4
wgbs_mixPat3_6_1,Colon-Ep,0.5
wgbs_mixPat3_6_2,Colon-Ep,0.5
wgbs_mixPat3_6_3,Colon-Ep,0.5
wgbs_mixPat3_7_1,Colon-Ep,0.6
wgbs_mixPat3_7_2,Colon-Ep,0.6
wgbs_mixPat3_7_3,Colon-Ep,0.6
wgbs_mixPat3_8_1,Colon-Ep,0.7
wgbs_mixPat3_8_2,Colon-Ep,0.7
wgbs_mixPat3_8_3,Colon-Ep,0.7
wgbs_mixPat3_9_1,Colon-Ep,0.8
wgbs_mixPat3_9_2,Colon-Ep,0.8
wgbs_mixPat3_9_3,Colon-Ep,0.8
wgbs_mixPat4_10_1,Oligodend,0.9
wgbs_mixPat4_10_2,Oligodend,0.9
wgbs_mixPat4_10_3,Oligodend,0.9
wgbs_mixPat4_11_1,Oligodend,1
wgbs_mixPat4_11_2,Oligodend,1
wgbs_mixPat4_11_3,Oligodend,1
wgbs_mixPat4_1_1,Oligodend,0
wgbs_mixPat4_1_2,Oligodend,0
wgbs_mixPat4_1_3,Oligodend,0
wgbs_mixPat4_2_1,Oligodend,0.1
wgbs_mixPat4_2_2,Oligodend,0.1
wgbs_mixPat4_2_3,Oligodend,0.1
wgbs_mixPat4_3_1,Oligodend,0.2
wgbs_mixPat4_3_2,Oligodend,0.2
wgbs_mixPat4_3_3,Oligodend,0.2
wgbs_mixPat4_4_1,Oligodend,0.3
wgbs_mixPat4_4_2,Oligodend,0.3
wgbs_mixPat4_4_3,Oligodend,0.3
wgbs_mixPat4_5_1,Oligodend,0.4
wgbs_mixPat4_5_2,Oligodend,0.4
wgbs_mixPat4_5_3,Oligodend,0.4
wgbs_mixPat4_6_1,Oligodend,0.5
wgbs_mixPat4_6_2,Oligodend,0.5
wgbs_mixPat4_6_3,Oligodend,0.5
wgbs_mixPat4_7_1,Oligodend,0.6
wgbs_mixPat4_7_2,Oligodend,0.6
wgbs_mixPat4_7_3,Oligodend,0.6
wgbs_mixPat4_8_1,Oligodend,0.7
wgbs_mixPat4_8_2,Oligodend,0.7
wgbs_mixPat4_8_3,Oligodend,0.7
wgbs_mixPat4_9_1,Oligodend,0.8
wgbs_mixPat4_9_2,Oligodend,0.8
wgbs_mixPat4_9_3,Oligodend,0.8
wgbs_mixPat5_10_1,Endothelium,0.9
wgbs_mixPat5_10_2,Endothelium,0.9
wgbs_mixPat5_10_3,Endothelium,0.9
wgbs_mixPat5_11_1,Endothelium,1
wgbs_mixPat5_11_2,Endothelium,1
wgbs_mixPat5_11_3,Endothelium,1
wgbs_mixPat5_1_1,Endothelium,0
wgbs_mixPat5_1_2,Endothelium,0
wgbs_mixPat5_1_3,Endothelium,0
wgbs_mixPat5_2_1,Endothelium,0.1
wgbs_mixPat5_2_2,Endothelium,0.1
wgbs_mixPat5_2_3,Endothelium,0.1
wgbs_mixPat5_3_1,Endothelium,0.2
wgbs_mixPat5_3_2,Endothelium,0.2
wgbs_mixPat5_3_3,Endothelium,0.2
wgbs_mixPat5_4_1,Endothelium,0.3
wgbs_mixPat5_4_2,Endothelium,0.3
wgbs_mixPat5_4_3,Endothelium,0.3
wgbs_mixPat5_5_1,Endothelium,0.4
wgbs_mixPat5_5_2,Endothelium,0.4
wgbs_mixPat5_5_3,Endothelium,0.4
wgbs_mixPat5_6_1,Endothelium,0.5
wgbs_mixPat5_6_2,Endothelium,0.5
wgbs_mixPat5_6_3,Endothelium,0.5
wgbs_mixPat5_7_1,Endothelium,0.6
wgbs_mixPat5_7_2,Endothelium,0.6
wgbs_mixPat5_7_3,Endothelium,0.6
wgbs_mixPat5_8_1,Endothelium,0.7
wgbs_mixPat5_8_2,Endothelium,0.7
wgbs_mixPat5_8_3,Endothelium,0.7
wgbs_mixPat5_9_1,Endothelium,0.8
wgbs_mixPat5_9_2,Endothelium,0.8
wgbs_mixPat5_9_3,Endothelium,0.8
wgbs_mixPat6_10_1,Prostate-Ep,0.9
wgbs_mixPat6_10_2,Prostate-Ep,0.9
wgbs_mixPat6_10_3,Prostate-Ep,0.9
wgbs_mixPat6_11_1,Prostate-Ep,1
wgbs_mixPat6_11_2,Prostate-Ep,1
wgbs_mixPat6_11_3,Prostate-Ep,1
wgbs_mixPat6_1_1,Prostate-Ep,0
wgbs_mixPat6_1_2,Prostate-Ep,0
wgbs_mixPat6_1_3,Prostate-Ep,0
wgbs_mixPat6_2_1,Prostate-Ep,0.1
wgbs_mixPat6_2_2,Prostate-Ep,0.1
wgbs_mixPat6_2_3,Prostate-Ep,0.1
wgbs_mixPat6_3_1,Prostate-Ep,0.2
wgbs_mixPat6_3_2,Prostate-Ep,0.2
wgbs_mixPat6_3_3,Prostate-Ep,0.2
wgbs_mixPat6_4_1,Prostate-Ep,0.3
wgbs_mixPat6_4_2,Prostate-Ep,0.3
wgbs_mixPat6_4_3,Prostate-Ep,0.3
wgbs_mixPat6_5_1,Prostate-Ep,0.4
wgbs_mixPat6_5_2,Prostate-Ep,0.4
wgbs_mixPat6_5_3,Prostate-Ep,0.4
wgbs_mixPat6_6_1,Prostate-Ep,0.5
wgbs_mixPat6_6_2,Prostate-Ep,0.5
wgbs_mixPat6_6_3,Prostate-Ep,0.5
wgbs_mixPat6_7_1,Prostate-Ep,0.6
wgbs_mixPat6_7_2,Prostate-Ep,0.6
wgbs_mixPat6_7_3,Prostate-Ep,0.6
wgbs_mixPat6_8_1,Prostate-Ep,0.7
wgbs_mixPat6_8_2,Prostate-Ep,0.7
wgbs_mixPat6_8_3,Prostate-Ep,0.7
wgbs_mixPat6_9_1,Prostate-Ep,0.8
wgbs_mixPat6_9_2,Prostate-Ep,0.8
wgbs_mixPat6_9_3,Prostate-Ep,0.8
wgbs_mixPat7_10_1,Bladder-Ep,0.9
wgbs_mixPat7_10_2,Bladder-Ep,0.9
wgbs_mixPat7_10_3,Bladder-Ep,0.9
wgbs_mixPat7_11_1,Bladder-Ep,1
wgbs_mixPat7_11_2,Bladder-Ep,1
wgbs_mixPat7_11_3,Bladder-Ep,1
wgbs_mixPat7_1_1,Bladder-Ep,0
wgbs_mixPat7_1_2,Bladder-Ep,0
wgbs_mixPat7_1_3,Bladder-Ep,0
wgbs_mixPat7_2_1,Bladder-Ep,0.1
wgbs_mixPat7_2_2,Bladder-Ep,0.1
wgbs_mixPat7_2_3,Bladder-Ep,0.1
wgbs_mixPat7_3_1,Bladder-Ep,0.2
wgbs_mixPat7_3_2,Bladder-Ep,0.2
wgbs_mixPat7_3_3,Bladder-Ep,0.2
wgbs_mixPat7_4_1,Bladder-Ep,0.3
wgbs_mixPat7_4_2,Bladder-Ep,0.3
wgbs_mixPat7_4_3,Bladder-Ep,0.3
wgbs_mixPat7_5_1,Bladder-Ep,0.4
wgbs_mixPat7_5_2,Bladder-Ep,0.4
wgbs_mixPat7_5_3,Bladder-Ep,0.4
wgbs_mixPat7_6_1,Bladder-Ep,0.5
wgbs_mixPat7_6_2,Bladder-Ep,0.5
wgbs_mixPat7_6_3,Bladder-Ep,0.5
wgbs_mixPat7_7_1,Bladder-Ep,0.6
wgbs_mixPat7_7_2,Bladder-Ep,0.6
wgbs_mixPat7_7_3,Bladder-Ep,0.6
wgbs_mixPat7_8_1,Bladder-Ep,0.7
wgbs_mixPat7_8_2,Bladder-Ep,0.7
wgbs_mixPat7_8_3,Bladder-Ep,0.7
wgbs_mixPat7_9_1,Bladder-Ep,0.8
wgbs_mixPat7_9_2,Bladder-Ep,0.8
wgbs_mixPat7_9_3,Bladder-Ep,0.8
wgbs_mixPat8_10_1,Breast-Basal-Ep,0.9
wgbs_mixPat8_10_2,Breast-Basal-Ep,0.9
wgbs_mixPat8_10_3,Breast-Basal-Ep,0.9
wgbs_mixPat8_11_1,Breast-Basal-Ep,1
wgbs_mixPat8_11_2,Breast-Basal-Ep,1
wgbs_mixPat8_11_3,Breast-Basal-Ep,1
wgbs_mixPat8_1_1,Breast-Basal-Ep,0
wgbs_mixPat8_1_2,Breast-Basal-Ep,0
wgbs_mixPat8_1_3,Breast-Basal-Ep,0
wgbs_mixPat8_2_1,Breast-Basal-Ep,0.1
wgbs_mixPat8_2_2,Breast-Basal-Ep,0.1
wgbs_mixPat8_2_3,Breast-Basal-Ep,0.1
wgbs_mixPat8_3_1,Breast-Basal-Ep,0.2
wgbs_mixPat8_3_2,Breast-Basal-Ep,0.2
wgbs_mixPat8_3_3,Breast-Basal-Ep,0.2
wgbs_mixPat8_4_1,Breast-Basal-Ep,0.3
wgbs_mixPat8_4_2,Breast-Basal-Ep,0.3
wgbs_mixPat8_4_3,Breast-Basal-Ep,0.3
wgbs_mixPat8_5_1,Breast-Basal-Ep,0.4
wgbs_mixPat8_5_2,Breast-Basal-Ep,0.4
wgbs_mixPat8_5_3,Breast-Basal-Ep,0.4
wgbs_mixPat8_6_1,Breast-Basal-Ep,0.5
wgbs_mixPat8_6_2,Breast-Basal-Ep,0.5
wgbs_mixPat8_6_3,Breast-Basal-Ep,0.5
wgbs_mixPat8_7_1,Breast-Basal-Ep,0.6
wgbs_mixPat8_7_2,Breast-Basal-Ep,0.6
wgbs_mixPat8_7_3,Breast-Basal-Ep,0.6
wgbs_mixPat8_8_1,Breast-Basal-Ep,0.7
wgbs_mixPat8_8_2,Breast-Basal-Ep,0.7
wgbs_mixPat8_8_3,Breast-Basal-Ep,0.7
wgbs_mixPat8_9_1,Breast-Basal-Ep,0.8
wgbs_mixPat8_9_2,Breast-Basal-Ep,0.8
wgbs_mixPat8_9_3,Breast-Basal-Ep,0.8
wgbs_mixPat9_10_1,Brain-Neuron,0.9
wgbs_mixPat9_10_2,Brain-Neuron,0.9
wgbs_mixPat9_10_3,Brain-Neuron,0.9
wgbs_mixPat9_11_1,Brain-Neuron,1
wgbs_mixPat9_11_2,Brain-Neuron,1
wgbs_mixPat9_11_3,Brain-Neuron,1
wgbs_mixPat9_1_1,Brain-Neuron,0
wgbs_mixPat9_1_2,Brain-Neuron,0
wgbs_mixPat9_1_3,Brain-Neuron,0
wgbs_mixPat9_2_1,Brain-Neuron,0.1
wgbs_mixPat9_2_2,Brain-Neuron,0.1
wgbs_mixPat9_2_3,Brain-Neuron,0.1
wgbs_mixPat9_3_1,Brain-Neuron,0.2
wgbs_mixPat9_3_2,Brain-Neuron,0.2
wgbs_mixPat9_3_3,Brain-Neuron,0.2
wgbs_mixPat9_4_1,Brain-Neuron,0.3
wgbs_mixPat9_4_2,Brain-Neuron,0.3
wgbs_mixPat9_4_3,Brain-Neuron,0.3
wgbs_mixPat9_5_1,Brain-Neuron,0.4
wgbs_mixPat9_5_2,Brain-Neuron,0.4
wgbs_mixPat9_5_3,Brain-Neuron,0.4
wgbs_mixPat9_6_1,Brain-Neuron,0.5
wgbs_mixPat9_6_2,Brain-Neuron,0.5
wgbs_mixPat9_6_3,Brain-Neuron,0.5
wgbs_mixPat9_7_1,Brain-Neuron,0.6
wgbs_mixPat9_7_2,Brain-Neuron,0.6
wgbs_mixPat9_7_3,Brain-Neuron,0.6
wgbs_mixPat9_8_1,Brain-Neuron,0.7
wgbs_mixPat9_8_2,Brain-Neuron,0.7
wgbs_mixPat9_8_3,Brain-Neuron,0.7
wgbs_mixPat9_9_1,Brain-Neuron,0.8
wgbs_mixPat9_9_2,Brain-Neuron,0.8
wgbs_mixPat9_9_3,Brain-Neuron,0.8
